date,adherence,steps,active_minutes,weight_kg,rhr_bpm,hrv_ms,sleep_hours,sleep_quality,stress_score,soreness,caloric_balance_kcal
2025-01-01,0.743,8370,44,81.99,68,44.5,6.78,3,2,2,-168
2025-01-02,0.75,8726,51,81.92,68,45.5,6.23,3,2,1,-171
2025-01-03,0.794,8641,49,81.92,68,42.0,6.6,3,2,1,-361
2025-01-04,0.72,7587,36,81.91,68,42.9,5.95,2,3,2,-152
2025-01-05,0.719,7953,40,81.88,68,38.5,6.7,3,4,1,-254
2025-01-06,0.854,8715,46,81.87,68,43.2,6.19,2,3,1,-287
2025-01-07,0.781,8381,44,81.84,70,44.8,6.17,3,3,2,-105
2025-01-08,0.72,8650,60,81.79,71,45.5,6.33,3,3,1,-188
2025-01-09,0.811,8853,58,81.75,70,43.5,6.36,4,3,0,-261
2025-01-10,0.772,9610,43,81.76,70,42.8,6.46,3,3,3,-274
2025-01-11,0.755,7908,46,81.74,69,46.6,6.02,3,3,4,-314
2025-01-12,0.787,8919,46,81.72,69,50.7,6.35,3,3,0,-360
2025-01-13,0.719,8476,35,81.68,69,51.0,6.34,3,3,0,-302
2025-01-14,0.795,8461,45,81.64,69,53.9,6.53,3,3,0,-214
2025-01-15,0.456,6995,33,81.64,74,50.0,5.56,3,3,3,-76
2025-01-16,0.526,6782,34,81.73,75,48.2,5.57,3,4,2,-157
2025-01-17,0.695,8166,52,81.69,75,42.7,5.4,3,4,2,-188
2025-01-18,0.687,9705,36,81.69,75,36.4,5.68,2,4,4,-366
2025-01-19,0.67,9082,43,81.68,75,26.4,5.83,3,4,3,-248
2025-01-20,0.632,8017,45,81.72,75,25,5.41,3,4,2,-90
2025-01-21,0.289,6891,24,81.75,75,25,5.26,3,5,0,-277
2025-01-22,0.712,8433,44,81.76,75,27.3,6.9,3,3,2,-172
2025-01-23,0.83,8438,54,81.73,74,27.1,6.73,3,3,0,-308
2025-01-24,0.753,9440,49,81.72,75,25.3,6.91,3,3,1,-166
2025-01-25,0.778,8462,46,81.74,74,28.9,6.69,3,2,1,-273
2025-01-26,0.736,8500,43,81.69,74,27.9,6.47,3,4,0,-191
2025-01-27,0.819,8200,50,81.67,75,31.6,7.23,3,3,1,-223
2025-01-28,0.652,7592,35,81.72,75,32.5,6.99,3,3,1,-84
2025-01-29,0.226,5678,10,81.78,75,27.1,6.25,3,4,2,-73
2025-01-30,0.219,5983,16,81.83,75,25,5.53,3,4,0,-150
2025-01-31,0.252,4545,11,81.84,75,25,5.5,3,4,0,-145
2025-02-01,0.505,7132,32,81.88,75,25,5.5,2,4,0,-140
2025-02-02,0.646,8106,36,81.9,75,25,5.46,2,4,3,-188
2025-02-03,0.464,7144,29,81.93,75,25,4.88,3,3,0,61
2025-02-04,0.198,4872,11,81.96,75,25,5.42,3,5,0,-78
2025-02-05,0.789,8966,50,81.94,73,27.1,6.28,2,3,1,-295
2025-02-06,0.683,7711,46,81.95,73,27.0,5.97,3,3,1,-400
2025-02-07,0.687,7841,39,81.93,72,27.3,6.58,3,3,1,-255
2025-02-08,0.742,8368,39,81.89,73,25.7,6.82,4,3,2,-214
2025-02-09,0.825,8344,55,81.86,72,25,6.65,3,3,1,-154
